,0
B_min,0.5421118948133515
C_entropia,0.53502891718441
R_quantil 075,0.5175638111046862
R_bucket 4,0.5151141646581359
R/G,0.5331188232346463
G_bucket 8,0.5325466227729286
R_quantil 005,0.5206072757162221
G/C,0.5157964397806151
C_ptp,0.519075608786195
B_quantil 099,0.512564882762583
G_quantil 001,0.5304779630570184
TGI,0.5065615132579356
B_quantil 010,0.5564779336237565
C_bucket 1,0.5091820316889666
C_quantil 095,0.5270974613178628
B_mediana,0.4920781742097623
R/B,0.5215551987245153
R_variancia,0.5236446174350825
C_quantil 099,0.5122198483284703
C_desvio padrao,0.5113592984022097
