,0
B_quantil 090,0.8907827362678077
B_mediana,0.8907163105374609
G_bucket 8,0.8905384407672535
R_quantil 090,0.8904456680721868
G_quantil 090,0.8908439455177812
B_bucket 1,0.8904160071001743
G_bucket 1,0.8906435434501205
C_bucket 8,0.8906941152029269
WVII,0.8909118792575775
G/B,0.8906280156378998
R_bucket 1,0.8906368036604625
C_ptp,0.8904036778383062
R_bucket 7,0.8906631200473356
R_cv,0.8906111008089734
G_entropia,0.8905791884458922
R_quantil 005,0.8906580820709062
C_bucket 7,0.8905323155252094
C_bucket 1,0.8908306401272895
B_bucket 7,0.8905322299599363
G_bucket 7,0.8901516686565911
