,0
C_ptp,0.5319814848686968
C_quantil 090,0.5282591794866472
GLI,0.5337024154860088
B_quantil 099,0.5068069555494343
R_quantil 095,0.5343771726101709
C_entropia,0.4977158347019765
C_quantil 095,0.5144028013872705
B_quantil 010,0.5424241618911763
R_quantil 005,0.5429197843709358
B_min,0.5241097930766028
TGI,0.5182879516359515
R/G,0.5235161063066227
G_quantil 001,0.5232790238901839
R_variancia,0.5141053203135555
G/C,0.4984511831679249
R/B,0.5226971922882243
C_desvio padrao,0.5205690926249242
C_bucket 1,0.509129609027207
B_mediana,0.509685326586931
C_quantil 099,0.5020358234041209
